Data,Label
"b'To test whether a single session of Motivational Interviewing (MI) focussing on drinking alcohol, and cigarette and cannabis smoking, would successfully lead to reductions in use or problems. Methods: Naturalistic quasi-experimental study, in 162 young people (mean age 17 years) who were daily cigarette smokers, weekly drinkers or weekly cannabis smokers, comparing 59 receiving MI with 103 non-intervention assessment-only controls. MI was delivered in a single session by youth workers or by the first author. Assessment was made of changes in self-reported cigarette, alcohol, cannabis use and related indicators of risk and problems between recruitment and after 3 months by self-completion questionnaire. Results: 87% of subjects (141 of 162) were followed up. The most substantial evidence of benefit was achieved in relation to alcohol consumption, with those receiving MI drinking on average two days per month less than controls after 3 months. Weaker evidences of impact on cigarette smoking, and no evidence of impact on cannabis use, were obtained. Conclusions: Evidence of effectiveness for the delivery of MI by youth workers in routine conditions has been identified. However, the extent of benefit is much more modest than previously identified in efficacy studies.\r\n\r\n'",0
"b'To assess the effect of treatment of problem drinking on injury risk, we conducted a systematic review of randomized controlled trials by searching 12 computerized databases, cross-checking bibliographies, and contacting authors and governmental agencies. We identified 19 trials of interventions for problem drinking that measured injury outcomes. Treatment for problem drinking was associated with reduced suicide attempts, domestic violence, falls, drinking-related injuries, and injury hospitalizations and deaths, with reductions ranging from 27 to 65%. Interventions among convicted drunk drivers reduced motor vehicle crashes and injuries. The precision of all the point estimates was low, however. We did not combine the results quantitatively, because the interventions, patient populations, and outcomes were so heterogeneous. The results suggest that treatment for problem drinking may reduce injuries and their antecedents. Because injuries account for much of the morbidity and mortality from problem drinking, further studies are warranted to confirm these effects.\r\n\r\n'",0
"b""It is now 15 years since David Barker and colleagues published the first direct evidence that fetal growth impairment is associated with cardiovascular disease.1 Since then, despite scepticism en route, the \x91fetal programming\x92 of later disease has become established as a legitimate area for epidemiological and biological enquiry. It has spawned a new generation of studies focused mainly on cardiovascular disease and diabetes accompanied by an emerging interest in its relevance to a wide range of other outcomes from breast cancer2 to schizophrenia.3\r\n\r\nSome researchers, particularly in perinatal epidemiology, have embraced the fetal origins hypothesis seeing in it a fresh rationale for their work. This is illustrated by the paper by Raum et al.4 in this issue of the International Journal of Epidemiology. They report that maternal education is inversely associated with impaired fetal growth in East as well as West Germany in the period around the collapse of the Berlin Wall in 1989. This is an important observation in its own right, providing further demonstration of the existence of socio-economic differences in societies organized on a very different basis to those of Western Europe and North America. However, what is striking is that the authors motivate their study (in part) by stating that \x91Poor intrauterine growth ... determines human susceptibility to disease ... in later life.\x92 While this appeal to the fetal origins hypothesis is understandable it reflects the view that regardless of cause, all variation in fetal growth or size at birth leads to variation in risk of later disease. However, this is clearly not the case, as has been shown by the observation that twins, despite being lighter at birth than singletons, do not as a group have higher blood pressure5 or an increased risk of coronary heart disease.6 Intra-uterine growth is a complex outcome that is influenced by a wide range of factors including fetal genotype, maternal physiology and behaviour as well as the function of that crucial interface\x97the placenta. Whether the type of intra-uterine growth retardation seen in mothers with low education is associated with an increase in risk of later disease in the offspring is an important but unanswered question.\r\n\r\nThe role of maternal nutrition in the fetal programming debate is a particularly vexed one. The crucial distinction between fetal and maternal nutrition is one that is spelt out in the incisive contribution by Harding also in this issue of the IJE.7 She identifies some of the key problems that exist in generalizing to humans from the impressive body of work based on animal models that provides unequivocal proof of concept that manipulation of maternal nutrition can programme the physiology of offspring. The human epidemiological evidence, however, is meagre and equivocal. The results of follow-up of people in utero during the Dutch Hunger winter, while suggestive, are far from conclusive. Thus Law et al.8 in their paper in this issue of the IJE, are absolutely right in saying that \x91the long-term effects on the offspring of the promotion of nutrition and health of girls and young women deserve further study\x92. The evidence for such interventions having any substantial effect on size at birth, let alone later blood pressure or risk of cardiovascular disease is minimal. The follow-up of offspring involved in nutritional and other trials to improve pregnancy outcome is a priority for future research.9\r\n\r\nIf fetal, and even maternal nutrition, has a role in programming in humans it may be that it is the balance of particular nutrients or levels of micronutrients that are important rather than the absolute levels of macronutrients.7 While not usually considered in the fetal origins debate the crucial influence of maternal micronutrient intake in pregnancy on fetal development is exemplified by the increased risk of neural tube defects associated with maternal folate deficiency.10 It is thus interesting that the paper by Shaw et al.11 in this issue of the IJE, suggests that low maternal weight gain during pregnancy is associated with increased risk of neural tube defects even with adjustment for a host of known risk factors (including folate supplementation). However, their interpretation of this association is suitably cautious, and they suggest that carrying a fetus with a neural tube defect in itself may lead to lower weight gain. This sort of \x91reverse causality\x92 explanation could be usefully deployed in the main-stream fetal origins debate. Could it be that impaired fetal growth is a consequence of some specific environmentally induced changes in fetal development that are themselves associated with risk of later disease? In this respect, size at birth is simply an epi-phenomenon, with no direct causal role, consistent with some of the animal work that has shown that manipulations in pregnancy can programme later function in the offspring without affecting size at birth.7\r\n\r\nThe current focus on the fetal origins of conditions such as cardiovascular disease, diabetes and cancer overshadows the fact that the oldest and largest literature on \x91early\x92 and prenatal origins of later disease relates to psychological and mental disorders.12 Two other papers in this issue of the IJE can be seen as a return to these older preoccupations. Cheung et al.13 relate the development of motor skills in childhood to in utero and postnatal growth in Pakistani infants while Nilsson et al.14 look at whether birth weight is associated with performance in psychological tests used at Swedish military conscription to identify men resistant to stress.\r\n\r\nThe literature on the early life antecedents of psychological and mental disorders predates the current interest in fetal programming by many years. In the couple of decades following the end of the second world war there was considerable interest in the fetal and obstetric determinants of \x91mental disorders\x92 and \x91mental retardation\x92 in particular. Much of this earlier literature was based on a model of injury to the brain either in utero or at delivery, rather than with more subtle changes in structure and function thought to be associated with growth impairment that are central to the current models of fetal programming. In a 1955 paper on the association of maternal and fetal factors with \x91mental deficiency\x92, Pasamanick and Lilienfeld suggested that there \x91is a continuum of reproductive causality, consisting of brain damage incurred during the prenatal and paranatal periods as a result of abnormalities during these periods, leading to a gradient of injury extending from fetal and neonatal death through cerebral palsy, epilepsy, behaviour disorder and mental retardation\x92.15 A few years later MacMahon and Sawa in one of several large reviews of this area,16 talked of the \x91voluminous\x92 literature on \x91prenatal influences in mental disease\x92. In the concluding paragraph of their review it is intriguing that they appear to anticipate the more recent interest in the later consequences of fetal growth: \x91The possibility that functional disorders may be related to ... birth weight are facts that have a theoretical significance far deeper than that which is immediately apparent.\x92\r\n\r\nIn the 1960s researchers in the UK and the US were particularly active in working on the aetiology of \x91mental retardation\x92. Indeed David Barker himself published work on the fetal and obstetric antecedents of intelligence,17 funded in part by the America Association for the Aid to the Crippled Child. This organization also funded one of the largest population based surveys of \x91mental retardation\x92 conducted anywhere. The 1962 Aberdeen Reading Survey administered standard psychometric tests to 14 000 primary school children and linked them to details concerning their births and other earlier childhood factors.18 One of the central concerns of this study was to disentangle the effects of fetal and postnatal socio-economic factors. It concluded that the risk of \x91mental retardation\x92 (excluding children with IQ < 50) was related to \x91an interaction of social-environmental circumstances, familial factors and ill-defined features of reproductive inadequacy\x92. This in many respects is a \x91life-course\x92 perspective which acknowledges the complex interplay between biological and social factors played out from conception to adulthood.\r\n\r\nThe Aberdeen cohort is currently being revived as a platform for investigating fetal and postnatal influences with a primary focus on adult and physician health and disease. In a similar way, the initial interest in the consequences of maternal malnutrition on the intelligence of offspring that drove the early work on the Dutch Hunger winter has now given way to studies that look at the effect of in utero exposure to famine on cardiovascular disease and diabetes. Addressing the current debate about the role of maternal nutrition in the programming of adult disease, it is salutary to recall that the initial research on prenatal exposure to the Dutch famine failed to find any evidence of an effect on mental performance at age 19 years.19\r\n\r\nFinally, it is worth observing that the current interest in the fetal programming of adult disease shares a key theme with the older tradition: the sensitivity of the developing brain in utero. Whereas the earlier work on mental disorders sought to find evidence of the brain's vulnerability to in utero insults, one view on the programming of cardiovascular disease is that it is the consequence of fetal adaptations to impaired nutrition that are made in order to protect the developing brain.20 Efforts to integrate the emerging evidence that fetal growth impairment may affect mental disorders and cognition21 with the \x91brain-sparing\x92 explanation for the fetal programming of cardiovascular disease are likely to be highly informative.""",3
"b""The acceptability of computerized assessment of alcohol habits was explored in 57 consecutive out-patients over a 6-month period. Altogether, 46 men and 11 women agreed to complete a paper and pencil questionnaire exploring their opinion about computerized assessment. The study focused on the patients' acceptance of computerized testing and also on whether some sub-groups had reservations. The participants indicated that they had no general anxiety towards computers and did not mind being assessed by their use. Nearly half of the men were not convinced of the usefulness of computers as a means of asking about alcohol habits. The same level of confidence was recorded with regard to whether doctors would make better assessments using computers. Around one-quarter of both men and women were worried that computers might cause doctors to spend less time with the patients and that staff might lose the personal contact with patients. Because of the small sample size, we conclude tentatively that a computerized lifestyle test appears to be an acceptable method both to men and women with different educational backgrounds. However, two important issues need to be further addressed, namely concerns about confidentiality and loss of personal contact.\r\n\r\n""",0
"b'Several hundred molecules of enzyme reaction products were detected in a single spheroplast from yeast cells incubated with a tetramethylrhodamine (TMR) labeled triglucoside, [alpha]-d-Glc(1->2)[alpha]-d-Glc(1->3)[alpha]-d-Glc-O(CH2)8CONHCH2-CH2NH-COTMR. Product detection was accomplished using capillary electrophoresis and laser induced fluorescence following the introduction of a single spheroplast into the separation capillary. The in vivo enzymatic hydrolysis of the TMR-trisaccharide involves at least two enzymes, limited by processing [alpha]-glucosidase I, producing TMR-disaccharide, TMR-monosaccharide, and the free TMR-linking arm. Hydrolysis was reduced by preincubation of the cells with the processing enzyme inhibitor castanospermine. Confocal laser scanning microscopy studies confirmed the uptake and internalization of fluorescent substrate. This single cell analysis methodology can be applied for the in vivo assay of any enzyme with a fluorescent substrate.'",2
"b'The present study was performed to assess the effect of short-term ethanol administration on cadmium retention and accumulation as well as on bioelement metabolism (zinc, copper, calcium, and magnesium) in rats exposed to an aqueous solution of cadmium chloride for 8 weeks. Intoxication with cadmium led to accumulation of this toxic metal, particularly in the liver and kidney, which was linked to metallothionein synthesis as well as to a disturbance in the metabolism of zinc, copper, and calcium. These effects were dependent on the level of exposure. The administration of ethanol in the final phase of cadmium treatment increased cadmium retention and accumulation in the body with simultaneous elevation in liver and kidney metallothionein concentration. Ethanol alone or with cadmium caused or intensified the cadmium-induced changes in metabolism of zinc and copper. Calcium metabolism disturbed by cadmium was not influenced by ethanol. Neither agents had any effect on magnesium metabolism. We conclude that even short-term ethanol consumption in conditions of exposure to cadmium can increase this heavy metal body burden and lead to more serious disturbances in metabolism of important elements such as zinc and copper. Cadmium- and ethanol-induced changes in the homeostasis of these microelements are probably connected with the ability of both xenobiotics to cause metallothionein induction.\r\n\r\n'",0
"b'Background Many epidemiological studies have assessed the relationships between anthropometric variables and breast cancer risk. However, methodological approaches for analysing these factors differ appreciably. Also, age when maximum height is achieved has been identified as a potential risk factor for breast cancer in premenopausal women, but this issue has not been studied in postmenopausal women.\r\n\r\nMethods The participants in this population-based case-control study were postmenopausal women 50\x9664 years of age from the general female population of western Washington State. It included 479 women with incident primary breast cancer and 435 controls.\r\n\r\nResults This study found that: (i) women who gained over 70 pounds since age 18 had an increased risk of breast cancer relative to those who stayed within 10 pounds of their weight at age 18 (odds ratio [OR] = 2.7; 95% CI : 1.5\x964.9), (ii) women with body mass indices (BMI) below what is considered healthy had a decreased risk (OR = 0.4; 95% CI : 0.2\x961.1) while women with a BMI in the obese range had an increased risk of breast cancer (OR = 1.4; 95% CI : 1.0\x962.1), and (iii) women who reached their maximum height at or after the age of 18 had a decreased risk of breast cancer compared to women who reached their maximum height at age 13 or younger (OR = 0.7; 95% CI : 0.5\x961.0).\r\n\r\nConclusions By examining various anthropometric variables using clinically relevant strata, a clearer picture of how these variables relate to postmenopausal breast cancer risk was developed. Similar to younger women, postmenopausal women who reached their maximum height at later ages had a decreased risk of breast cancer.'",3
"b'Background Human herpes virus 8 (HHV8) appears to be the primary aetiologic agent of Kaposi sarcoma (KS). To study the distribution of HHV8, a seroepidemiological study was carried out in western Sicily, where a high incidence rate of classical KS is well documented.\r\n\r\nMethods A total of 970 sera of healthy human immunodeficiency virus (HIV) negative individuals of general population (1\x9670 years old) and 742 sera of individuals in different risk groups for HIV infection were evaluated by means of an indirect immunofluorescence assay able to detect antibodies to lytic and latent HHV8 antigens.\r\n\r\nResults Crude seroprevalence to HHV8 antigens was 11.5% in the general population, and it increased significantly with age from 6% under age 16 to 22% after age 50. Significantly higher HHV8 seroprevalence rates were detected among HIV positive and negative homosexual men (62% and 22%, respectively), men who had sex with prostitutes (40% and 29%, respectively); female prostitutes (42% and 30%, respectively), and clients at a sexually transmitted disease clinic (male: 60% and 33%, respectively, female: 63% and 43%, respectively). In contrast, heterosexual intravenous drug users had seroprevalence rates comparable to those found in the general population.\r\n\r\nConclusions The results suggest that HHV8 infection is widespread in Western Sicily. The high seroprevalence in individuals with high risk sexual activity point to the role of sexual behaviour in the transmission of the infection in adults, whereas the detection of antibodies in younger population (under 16 years old) is suggestive of a non-sexual route of transmission, probably occurring during childhood by close personal contact.'",3
"b'Truncated forms of cytokine receptors have been regarded as modulators of the activity of their cognate ligands. In addition to inhibiting effects of their respective ligands, soluble receptors can also facilitate ligand-mediated signaling. Several studies have demonstrated that exogenous IL-6 in association with the soluble IL-6 receptor {alpha} (sIL-6R{alpha}) can activate cells expressing the gp130 signal transducer lacking the specific, membrane-bound IL-6R{alpha}. Since cell cultures of human dermal fibroblasts express high amounts of IL-6, we examined whether the addition of sIL-6R{alpha} in association with endogenous IL-6 would be sufficient to stimulate these cells via gp130. As an early rapid signal we analyzed changes in intracellular free calcium concentrations ([Ca2+]i). Addition of sIL-6R{alpha} induced an acute and transient increase in cytosolic free calcium concentrations in a dose-dependent fashion. This Ca2+-signal was abolished when cells were pretreated with anti-IL-6 or anti-gp130 antibodies. Using flow cytometric analysis we could demonstrate membrane-associated IL-6 and gp130, but not IL-6R{alpha} on fibroblasts. We also analyzed MCP-1 and IL-8 expression as a response involved in the more recently recognized chemoattractant functions of fibroblasts, and found MCP-1 to be up-regulated, but not IL-8. These data suggest that sIL-6R{alpha} binds to cell-associated, endogenous IL-6 produced by fibroblasts and this complex then activates the cells via gp130. This pathway of fibroblast activation by sIL-6R{alpha} adds another dimension to the role of fibroblasts in the cytokine network.'",4
"b'Chitobiase is a lysosomal glycosidase that acts during the ordered degradation of asparagine-linked glycoproteins to cleave the core chitobiose unit at its reducing end. Human chitobiase is expressed in significant amounts, while bovine chitobiase is produced at extremely low levels. To begin to understand this species-dependent expression, we determined the gene structure of human chitobiase. The human chitobiase gene (CTBS) is approximately 20 kb comprising seven exons varying from 0.1 to 2.3 kb and six introns of 0.3 to 8 kb. The previously characterized partial bovine chitobiase gene structure is similarly organized including exon and intron sizes and locations, but the human and bovine 5[prime]-flanking regions differ significantly. 5[prime]-RACE analysis of human chitobiase cDNA revealed only one transcriptional start site 45 bp upstream of the ATG translation initiation site. Computer analysis of the human chitobiase gene 5[prime]-flanking region shows characteristics of a typical housekeeping gene. The putative promoter region contains a distal TATA box, and there are several Sp-1 and AP-2 cis elements. In contrast, bovine chitobiase gene 5[prime]-flanking region shows totally different structures and may contain several silencers. A partial art-2 segment which is an artiodactyl Alu-like repetitive sequence, is also present. These evolutionary differences in the 5[prime]-flanking region of the chitobiase genes from human and bovine could account for the widely varied expression levels of the hydrolase within these two species.'",2
"b""Mice deficient in MHC class II expression (C2d mice) do not make antibody to protein antigens administered systemically, but their ability to produce IgA antibody to antigen administered at mucosal sites has not been described. We investigated IgA production by C2d mice and their IgA antibody response to antigen given orally. Young C2d mice had normal amounts of serum IgA, intestinal-secreted IgA and normal numbers of intestinal IgA plasma cells, compared to control C57BL/6 mice. IgA production by C2d mice increased with age. Following oral immunization with cholera toxin, C57BL/6 mice responded with IgA and IgG antibody, and had increased numbers of IgA plasma cells, but C2d mice gave no response. The Peyer's patch and mesenteric lymph node tissues of C2d mice contained very few CD4-expressing T cells. Thus, C2d mice have no typical mucosal CD4 Th cells and cannot respond to a strong oral immunogen, yet they still produced and secreted IgA. We hypothesized that B-1 lymphocytes could provide a source of IgA independent of antigen-specific T cell help. Young C2d mice had normal numbers of peritoneal B-1a cells and their frequency increased with age. To test the role of these B-1a cells, we bred C2d mice to obtain mice that had no MHC class II expression and expressed the Xid gene that confers deficiency in B-1a cells. These double-deficient mice had 10-fold less serum and secreted IgA than all other F2 littermates. We conclude that B-1a cells are essential for the majority of IgA production in C2d mice. Thus, the C2d mouse may provide a useful tool for analysis of the role of intestinal IgA provided by B-1a cells.""",4
"b'Instrumental-variable (IV) methods were invented over 70 years ago, but remain uncommon in epidemiology. Over the past decade or so, non-parametric versions of IV methods have appeared that connect IV methods to causal and measurement-error models important in epidemiological applications. This paper provides an introduction to those developments, illustrated by an application of IV methods to non-parametric adjustment for non-compliance in randomized trials.\r\nMethods for control of confounding and measurement error are central to non-experimental research. One large class of such methods based on instrumental variables (IV) dates back to the 1920s. They have been an integral part of econometrics for decades1,2 and have appeared in the health sciences,3\x965 yet they remain little known in epidemiology. Their absence from the field may in part be due to the fact that the methods were rarely presented outside of linear-regression contexts until the 1980s. The past two decades have seen extensions of IV methods to non-parametric causal models and to non-linear regression.4\x9616 I here provide an elementary introduction to non-parametric IV methods, with a focus on showing how IV assumptions lead to corrections for confounding by non-compliance in randomized trials. This application is especially important because treatment assignment can provide a perfect instrumental variable for confounding control, and IV methods provide an alternative to intent-to-treat analysis. I will also briefly sketch how IV methods for misclassification correction are related to confounding control.\r\n\r\nAn intuitive basis for the methods discussed here is as follows: Suppose X and Y are the exposure and outcome of interest, and we can observe their relation to a third variable Z, called an instrumental variable or instrument, that is associated with X but not associated with Y except through its association with X. Then, under certain conditions, we can write the Z-Y association as a product of the Z-X and X-Y associations, \r\n\r\n\r\nand solve this equation for the X-Y association. This equation is of particular use when either (i) the observed X-Y association is confounded by unmeasured covariates, but the Z-X and Z-Y associations are not confounded; or (ii) the X-Y association cannot be observed directly because we cannot observe X directly, but Z is an observed surrogate for X whose association with X is known or estimable, and whose deviation from X is independent of other variables or errors. The precise conditions under which the equation holds vary with the problem, as will be discussed below.\r\n\r\n'",3
